age,workclass,education,experience,occupation,hours_per_week,salary
56,Private,High School,39,Prof-Specialty,49,75K-100K
46,Self-Emp,Associate,23,Sales,38,50K-75K
32,Private,Bachelors,12,Other-Service,47,25K-50K
60,Federal-Gov,Masters,35,Exec-Managerial,30,>100K
25,Private,Bachelors,0,Farming-Fishing,34,<=25K
38,Private,Bachelors,14,Admin,43,25K-50K
56,Private,Masters,34,Tech-Support,39,75K-100K
36,State-Gov,High School,20,Tech-Support,37,50K-75K
40,Private,High School,22,Prof-Specialty,30,50K-75K
28,Private,Bachelors,4,Sales,47,25K-50K
28,Private,Bachelors,4,Tech-Support,26,25K-50K
41,Private,Masters,19,Other-Service,47,50K-75K
53,Private,Associate,34,Admin,40,50K-75K
57,Without-Pay,High School,42,Prof-Specialty,40,50K-75K
41,Private,Associate,20,Prof-Specialty,39,50K-75K
20,,High School,2,Admin,33,<=25K
39,Private,High School,19,,39,50K-75K
19,State-Gov,Bachelors,0,Prof-Specialty,42,25K-50K
41,Local-Gov,High School,25,Sales,43,50K-75K
61,Private,Bachelors,38,Tech-Support,39,75K-100K
47,Private,Associate,24,Craft-Repair,39,50K-75K
55,Private,Bachelors,31,Sales,39,50K-75K
19,Private,High School,0,Exec-Managerial,37,25K-50K
38,Private,High School,23,Prof-Specialty,25,50K-75K
50,Private,High School,32,Admin,35,50K-75K
29,Private,Masters,7,Other-Service,31,25K-50K
39,Private,Bachelors,16,Sales,38,25K-50K
61,Private,Associate,38,Tech-Support,32,50K-75K
42,Local-Gov,High School,23,Prof-Specialty,42,50K-75K
44,Private,Masters,22,,49,50K-75K
59,Private,High School,41,Prof-Specialty,37,75K-100K
45,Self-Emp,High School,25,Other-Service,42,25K-50K
33,Private,Bachelors,14,Sales,36,25K-50K
32,Private,Masters,11,Tech-Support,39,25K-50K
64,Self-Emp,High School,44,Sales,50,75K-100K
61,Private,High School,44,Craft-Repair,27,75K-100K
20,Private,Masters,0,Sales,34,25K-50K
54,Private,High School,39,Tech-Support,40,50K-75K
24,Private,High School,7,Prof-Specialty,38,25K-50K
38,Private,Bachelors,17,Exec-Managerial,36,50K-75K
26,Self-Emp,Masters,4,Admin,30,<=25K
56,Private,Associate,38,Other-Service,43,50K-75K
35,Federal-Gov,Doctorate,10,Tech-Support,39,50K-75K
21,State-Gov,Bachelors,0,Exec-Managerial,45,50K-75K
42,Private,High School,24,Sales,48,50K-75K
31,Private,Doctorate,2,Other-Service,39,25K-50K
26,Self-Emp,Associate,6,Sales,50,25K-50K
43,Private,High School,27,Admin,48,50K-75K
19,Private,Bachelors,0,Tech-Support,36,<=25K
37,Private,High School,19,Farming-Fishing,51,25K-50K
45,Private,High School,27,Admin,45,50K-75K
64,Private,High School,47,Admin,50,75K-100K
24,Private,Associate,4,Prof-Specialty,25,25K-50K
61,Private,Bachelors,40,Tech-Support,45,75K-100K
25,Private,Bachelors,4,Craft-Repair,42,25K-50K
64,Private,Doctorate,36,Prof-Specialty,33,>100K
52,,High School,36,Sales,28,50K-75K
31,Private,High School,16,Prof-Specialty,38,50K-75K
34,Private,High School,13,Admin,40,25K-50K
53,Private,High School,36,Exec-Managerial,35,75K-100K
57,Private,High School,39,Prof-Specialty,33,75K-100K
21,Private,Bachelors,0,Exec-Managerial,35,25K-50K
19,Local-Gov,Masters,0,Admin,34,<=25K
23,Private,Doctorate,0,Admin,47,25K-50K
59,Local-Gov,High School,39,Other-Service,33,50K-75K
21,State-Gov,Masters,0,Other-Service,26,<=25K
46,,High School,31,Tech-Support,46,50K-75K
35,Private,High School,15,Sales,47,25K-50K
43,Self-Emp,Masters,17,Farming-Fishing,39,50K-75K
61,Private,Bachelors,37,Exec-Managerial,30,75K-100K
51,Private,High School,36,Exec-Managerial,24,75K-100K
27,Private,Associate,6,Prof-Specialty,40,25K-50K
53,Private,High School,36,Sales,44,50K-75K
31,Self-Emp,Bachelors,8,Prof-Specialty,33,50K-75K
48,Private,Associate,28,Other-Service,46,50K-75K
65,Without-Pay,Doctorate,41,Admin,28,75K-100K
32,Private,High School,16,Prof-Specialty,40,50K-75K
25,Self-Emp,Associate,8,Prof-Specialty,23,25K-50K
31,Private,Associate,8,Farming-Fishing,32,25K-50K
40,Private,Bachelors,17,Sales,25,25K-50K
57,Federal-Gov,High School,37,Other-Service,44,50K-75K
38,Self-Emp,Bachelors,14,Tech-Support,42,50K-75K
33,Private,Masters,9,Exec-Managerial,59,50K-75K
62,Private,Masters,39,Sales,41,50K-75K
35,Private,Bachelors,10,Other-Service,36,25K-50K
64,Federal-Gov,Masters,39,Sales,31,75K-100K
41,Private,Bachelors,20,Other-Service,47,25K-50K
43,Self-Emp,Bachelors,22,Exec-Managerial,61,50K-75K
42,Private,High School,26,Craft-Repair,48,50K-75K
62,Private,Associate,44,Sales,41,75K-100K
58,Self-Emp,High School,39,Admin,40,50K-75K
46,Private,Associate,25,,26,50K-75K
32,Private,High School,13,,47,50K-75K
62,Self-Emp,Masters,37,Tech-Support,34,75K-100K
18,Self-Emp,High School,0,Prof-Specialty,30,25K-50K
42,Private,High School,27,Admin,38,50K-75K
24,Local-Gov,Bachelors,5,Prof-Specialty,33,25K-50K
26,Private,High School,9,Sales,32,25K-50K
41,Without-Pay,High School,26,Admin,36,25K-50K
18,Self-Emp,High School,1,Other-Service,24,<=25K
61,Private,Associate,39,Exec-Managerial,37,75K-100K
25,Private,Associate,8,Craft-Repair,41,25K-50K
41,Private,Bachelors,20,Admin,32,50K-75K
28,Private,Bachelors,5,Admin,50,<=25K
34,Private,Associate,11,Exec-Managerial,35,50K-75K
25,Private,High School,10,Tech-Support,31,25K-50K
52,Private,High School,36,Admin,46,50K-75K
52,Self-Emp,Bachelors,32,Sales,40,50K-75K
50,Private,High School,33,Sales,50,50K-75K
22,Private,High School,1,Sales,52,25K-50K
59,Private,Bachelors,39,Other-Service,28,50K-75K
56,Self-Emp,Associate,39,,57,75K-100K
58,Private,High School,37,Prof-Specialty,21,75K-100K
45,Self-Emp,High School,25,Admin,29,50K-75K
24,Private,Masters,0,Craft-Repair,29,25K-50K
26,Private,Masters,3,Sales,50,25K-50K
25,Private,Bachelors,1,Tech-Support,44,25K-50K
29,Private,Associate,7,Admin,42,25K-50K
51,Private,Bachelors,26,Exec-Managerial,20,50K-75K
50,Private,Doctorate,24,Other-Service,39,50K-75K
65,Private,Masters,39,Tech-Support,59,75K-100K
40,State-Gov,High School,21,,44,25K-50K
41,Private,Bachelors,17,Other-Service,37,25K-50K
54,Private,High School,35,Admin,48,50K-75K
52,Without-Pay,High School,34,Tech-Support,41,50K-75K
61,Private,Bachelors,38,Other-Service,36,50K-75K
57,Private,Associate,36,Admin,34,50K-75K
39,Without-Pay,Masters,12,,44,25K-50K
44,Without-Pay,High School,24,Other-Service,37,25K-50K
52,Private,Bachelors,30,Craft-Repair,41,50K-75K
18,Private,Masters,0,Prof-Specialty,21,25K-50K
52,Private,Masters,31,Craft-Repair,39,75K-100K
54,Self-Emp,High School,39,Prof-Specialty,31,75K-100K
64,Local-Gov,Associate,43,Exec-Managerial,48,75K-100K
31,Private,Bachelors,11,Admin,31,25K-50K
20,Self-Emp,High School,1,Craft-Repair,33,25K-50K
18,Private,Masters,0,Other-Service,29,<=25K
22,Private,Masters,0,Exec-Managerial,46,25K-50K
43,Self-Emp,High School,27,Exec-Managerial,44,50K-75K
31,Private,High School,13,Exec-Managerial,31,25K-50K
56,Private,High School,35,Other-Service,32,50K-75K
44,Without-Pay,Masters,19,Admin,46,25K-50K
26,Private,High School,7,Prof-Specialty,56,25K-50K
32,Private,Associate,15,Other-Service,43,25K-50K
32,Self-Emp,Associate,9,Admin,49,25K-50K
43,Local-Gov,Bachelors,24,Farming-Fishing,37,25K-50K
59,State-Gov,High School,39,Farming-Fishing,31,50K-75K
30,Private,High School,11,Other-Service,38,25K-50K
49,Private,Masters,23,Exec-Managerial,48,75K-100K
56,Private,Masters,32,Tech-Support,35,50K-75K
49,Private,Bachelors,29,Prof-Specialty,37,75K-100K
21,Local-Gov,High School,5,Tech-Support,57,25K-50K
47,Self-Emp,High School,31,Admin,54,50K-75K
54,Private,Bachelors,35,Other-Service,41,50K-75K
40,Private,High School,23,Prof-Specialty,49,50K-75K
56,Local-Gov,Masters,29,Sales,30,50K-75K
62,State-Gov,Bachelors,42,Admin,45,75K-100K
32,Private,High School,13,Prof-Specialty,40,50K-75K
60,Private,Masters,33,Other-Service,43,75K-100K
46,Private,Masters,22,Exec-Managerial,29,50K-75K
53,Self-Emp,High School,35,Admin,27,50K-75K
30,Private,Bachelors,11,Prof-Specialty,35,50K-75K
49,Private,High School,31,Sales,29,50K-75K
24,Private,Associate,4,Admin,32,25K-50K
39,Private,High School,22,Exec-Managerial,60,75K-100K
45,Private,Bachelors,21,Exec-Managerial,49,50K-75K
19,Local-Gov,Masters,0,Exec-Managerial,42,25K-50K
59,Local-Gov,Bachelors,39,Craft-Repair,43,50K-75K
62,Self-Emp,High School,45,Exec-Managerial,43,75K-100K
23,Local-Gov,Bachelors,4,,38,<=25K
45,Private,High School,25,Craft-Repair,42,25K-50K
45,Private,Masters,24,Prof-Specialty,47,50K-75K
61,Self-Emp,Associate,44,Admin,38,75K-100K
61,Private,High School,43,Other-Service,51,50K-75K
37,Private,High School,17,Other-Service,38,25K-50K
47,Private,Bachelors,22,Tech-Support,32,50K-75K
28,Private,High School,12,Exec-Managerial,42,25K-50K
45,Private,Bachelors,21,Sales,38,50K-75K
42,Private,High School,21,Admin,37,50K-75K
56,Private,High School,37,Exec-Managerial,47,75K-100K
50,Private,Associate,27,,37,50K-75K
18,,Masters,0,Sales,32,25K-50K
44,Private,Masters,20,Exec-Managerial,36,50K-75K
30,Private,High School,12,Other-Service,34,25K-50K
58,Private,Associate,40,Craft-Repair,33,50K-75K
20,Self-Emp,High School,2,Farming-Fishing,47,<=25K
56,Private,Bachelors,31,Exec-Managerial,31,75K-100K
23,,Associate,4,Prof-Specialty,40,25K-50K
25,Local-Gov,Masters,1,Craft-Repair,37,25K-50K
44,Private,Masters,20,Prof-Specialty,39,50K-75K
26,Private,Associate,3,Sales,23,25K-50K
54,Private,Associate,33,Tech-Support,45,50K-75K
50,Private,Masters,25,Other-Service,37,50K-75K
59,Local-Gov,Bachelors,35,Admin,47,50K-75K
61,Private,High School,45,Sales,43,75K-100K
41,Private,High School,22,Exec-Managerial,40,50K-75K
32,Private,Associate,12,Other-Service,40,25K-50K
49,Private,High School,32,Admin,57,50K-75K
49,Private,High School,29,Prof-Specialty,33,50K-75K
41,Private,High School,25,Admin,42,25K-50K
58,Private,Bachelors,37,Exec-Managerial,41,50K-75K
29,Private,High School,12,Exec-Managerial,27,50K-75K
56,Self-Emp,High School,38,Admin,39,50K-75K
19,Private,High School,0,Farming-Fishing,27,<=25K
20,Private,Bachelors,0,Craft-Repair,39,25K-50K
54,Private,Masters,27,Tech-Support,27,50K-75K
34,State-Gov,Associate,13,Admin,43,25K-50K
19,Private,Associate,0,Tech-Support,29,<=25K
19,Private,Doctorate,0,Other-Service,39,25K-50K
45,Private,High School,27,Admin,27,25K-50K
40,Private,High School,21,Tech-Support,43,50K-75K
54,Private,High School,38,Exec-Managerial,39,75K-100K
49,Private,High School,28,,38,25K-50K
50,Private,Associate,32,Sales,41,75K-100K
18,State-Gov,Masters,0,Prof-Specialty,44,25K-50K
36,Private,Bachelors,14,Tech-Support,33,50K-75K
19,Private,Associate,0,Other-Service,39,<=25K
61,Private,Masters,39,Other-Service,36,75K-100K
43,,High School,23,Exec-Managerial,50,50K-75K
49,Private,High School,31,Exec-Managerial,36,50K-75K
23,Private,Bachelors,2,Prof-Specialty,33,25K-50K
49,Private,Bachelors,27,Prof-Specialty,27,50K-75K
21,Private,High School,1,Admin,37,<=25K
28,Private,Associate,8,Admin,34,25K-50K
34,Self-Emp,Bachelors,15,Other-Service,42,25K-50K
55,Private,Bachelors,33,Sales,41,75K-100K
41,Federal-Gov,Bachelors,17,Prof-Specialty,44,50K-75K
22,Without-Pay,High School,7,Prof-Specialty,29,25K-50K
51,Private,High School,36,Sales,18,50K-75K
23,Local-Gov,Associate,3,Craft-Repair,39,25K-50K
39,Private,High School,23,Other-Service,46,50K-75K
28,Private,Masters,3,Sales,36,25K-50K
65,Private,Associate,48,Other-Service,54,50K-75K
33,Private,High School,17,Admin,39,50K-75K
50,Private,Bachelors,28,Craft-Repair,34,50K-75K
26,Private,Associate,3,Prof-Specialty,43,25K-50K
23,Self-Emp,High School,2,Prof-Specialty,51,25K-50K
33,Private,Bachelors,10,Sales,39,25K-50K
46,Private,Masters,25,Tech-Support,46,50K-75K
20,Local-Gov,Bachelors,0,Other-Service,36,<=25K
37,Local-Gov,High School,20,Exec-Managerial,36,50K-75K
53,Local-Gov,Bachelors,34,Prof-Specialty,48,75K-100K
36,Federal-Gov,Bachelors,14,Other-Service,25,25K-50K
43,Private,High School,22,Exec-Managerial,31,50K-75K
20,Private,High School,0,Tech-Support,44,25K-50K
36,Private,Masters,11,Other-Service,37,<=25K
37,Local-Gov,High School,17,Other-Service,42,25K-50K
49,Private,Bachelors,28,Tech-Support,44,50K-75K
24,Private,Associate,4,Prof-Specialty,29,25K-50K
58,Private,Associate,39,Farming-Fishing,29,50K-75K
50,Private,High School,30,Admin,49,50K-75K
57,Private,Bachelors,35,Admin,36,50K-75K
56,Private,Associate,39,Exec-Managerial,34,75K-100K
35,Private,Bachelors,15,Sales,42,25K-50K
57,Private,Bachelors,37,Prof-Specialty,47,75K-100K
18,Self-Emp,Bachelors,0,Prof-Specialty,46,25K-50K
28,Self-Emp,Masters,5,Admin,43,25K-50K
45,Private,Bachelors,25,Other-Service,49,50K-75K
42,Federal-Gov,Associate,24,Sales,44,50K-75K
40,Self-Emp,Masters,13,Tech-Support,35,50K-75K
48,Private,Bachelors,28,Tech-Support,42,50K-75K
47,Self-Emp,High School,26,Craft-Repair,46,50K-75K
59,Self-Emp,High School,40,Sales,33,75K-100K
52,Private,Bachelors,27,Admin,35,50K-75K
24,Private,Associate,1,Farming-Fishing,41,<=25K
33,Private,Bachelors,9,Farming-Fishing,45,25K-50K
43,Self-Emp,Associate,20,Sales,39,50K-75K
65,Private,High School,44,Admin,42,75K-100K
19,Private,Bachelors,0,Prof-Specialty,20,25K-50K
18,Private,High School,0,Prof-Specialty,52,25K-50K
65,Private,Associate,47,Other-Service,46,75K-100K
29,Private,Bachelors,10,Sales,45,25K-50K
22,Private,Associate,0,Sales,45,25K-50K
54,State-Gov,Bachelors,31,Prof-Specialty,45,75K-100K
49,Self-Emp,Bachelors,24,Prof-Specialty,51,75K-100K
26,Private,Bachelors,1,Prof-Specialty,48,25K-50K
58,Private,High School,39,Other-Service,43,50K-75K
52,Private,High School,37,Prof-Specialty,46,50K-75K
36,Self-Emp,Bachelors,12,Sales,42,25K-50K
65,Private,Masters,43,Prof-Specialty,33,75K-100K
33,Private,Bachelors,14,Tech-Support,35,50K-75K
20,Local-Gov,Bachelors,0,Exec-Managerial,36,25K-50K
37,Self-Emp,High School,21,Farming-Fishing,38,25K-50K
41,Private,Associate,22,Prof-Specialty,38,50K-75K
50,Private,Associate,32,Admin,30,50K-75K
41,Private,High School,21,Exec-Managerial,41,50K-75K
28,Self-Emp,High School,8,Sales,45,25K-50K
25,Private,Masters,4,Admin,36,25K-50K
53,Private,High School,32,,37,75K-100K
55,Private,High School,36,Prof-Specialty,46,75K-100K
57,Private,High School,37,Exec-Managerial,41,75K-100K
